SYMPTOMS,SPECIALIST 1,SPECIALIST 2,SPECIALIST 3,SPECIALIST 4,SPECIALIST 5
Abdominal Pain - Male,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Stomach Pain - Male,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Constipation,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Diarrhea,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Vomiting,Family Medicine,Internal Medicine - General,Gastroenterology,,Pediatric Gastroenterology & Nutrition
Ebola Exposure,Family Medicine,Internal Medicine - General,Infectious Diseases,Emergency Medicine,Pediatric Emergency Medicine
Animal Bite,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Cold Sores,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Common Cold,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Fever,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Influenza (Flu) - Seasonal,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Influenza (Flu) Exposure,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Mumps Exposure,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Chlamydia,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - General Herpes,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Genital Herpes,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Gonorrhea,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - HIV,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - HIV,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Prevention,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Pubic Lice,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
STD - Trichomonas,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Tick Bite,Family Medicine,Internal Medicine - General,Infectious Diseases,,Pediatric Infectious Disease
Head Injury,Family Medicine,Internal Medicine - General,Neurology,Emergency Medicine,Pediatric Neurology
Headache,Family Medicine,Internal Medicine - General,Neurology,,Pediatric Neurology
Neck Pain,Family Medicine,Internal Medicine - General,Neurology,,Pediatric Neurology
Emergency Contraception,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Menstrual Period - Missed or Late,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Pregnancy ,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vaginal Bleeding,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vaginal Bleeding (Pregnant Less Than 20 Weeks),Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vaginal Bleeding (Pregnant More Than 20 Weeks),Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vaginal Bleeding - Abnormal,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vaginal Discharge,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Vulvar Symptoms,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Eye - Chemical In,Family Medicine,Internal Medicine - General,Ophthalmology,Emergency Medicine,Pediatric Ophthalmology
Eye Injury,Family Medicine,Internal Medicine - General,Ophthalmology,Emergency Medicine,Pediatric Ophthalmology
Eye - Injury,Family Medicine,Internal Medicine - General,Ophthalmology,Emergency Medicine,Pediatric Ophthalmology
Eye - Foreign Body or Object,Family Medicine,Internal Medicine - General,Ophthalmology,Emergency Medicine,Pediatric Ophthalmology
Eye - Pus or Discharge,Family Medicine,Internal Medicine - General,Ophthalmology,Ophthalmology - General,Pediatric Ophthalmology
Arm Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Elbow Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Finger Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Hand and Wrist Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Hand and Wrist Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Hip Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Knee Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Leg Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Shoulder Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Emergency Medicine,Pediatric Orthopaedic Surgery
Foot and Ankle Injury,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Pediatric Orthopaedic Surgery,Emergency Medicine
Ankle Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Arm Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Elbow Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Finger Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Hand and Wrist Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Hip Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Knee Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Shoulder Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,Rheumatology & Arthritis,Pediatric Rheumatology& Arthritis
Back Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,,Pediatric Rheumatology& Arthritis
Leg Pain,Family Medicine,Internal Medicine - General,Orthopaedic Primary Care,,Pediatric Rheumatology& Arthritis
Nose Injury,Family Medicine,Internal Medicine - General,Otolaryngology - General,Emergency Medicine,Pediatric Otolaryngology
Ear - Swimmer's,Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Earache,Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Nose Allergy (Hay Fever),Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Nosebleed,Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Sinus Pain,Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Sore Throat,Family Medicine,Internal Medicine - General,Otolaryngology - General,,Pediatric Otolaryngology
Athlete's Foot,Family Medicine,Internal Medicine - General,Podiatry,Dermatology,Pediatric Dermatology
Toe Pain,Family Medicine,Internal Medicine - General,Podiatry,Nephrology,Pediatric Nephrology
Foot Pain,Family Medicine,Internal Medicine - General,Podiatry,Podiatry Foot,
Toe Injury,Family Medicine,Internal Medicine - General,Podiatry,,
Alcohol Abuse,Family Medicine,Internal Medicine - General,Psychiatry,psychology,Child & Adolescent Psychiatry
Alcohol Abuse Problems / Questions,Family Medicine,Internal Medicine - General,Psychiatry,psychology,Child & Adolescent Psychiatry
Depression,Family Medicine,Internal Medicine - General,Psychiatry,,Child & Adolescent Psychiatry
Drug Abuse,Family Medicine,Internal Medicine - General,Psychiatry,,Child & Adolescent Psychiatry
Drug Abuse Problems / Questions,Family Medicine,Internal Medicine - General,Psychiatry,,Child & Adolescent Psychiatry
Asthma Attack,Family Medicine,Internal Medicine - General,Pulmonology - General,Emergency Medicine,Pediatric Pulmonology
Cough,Family Medicine,Internal Medicine - General,Pulmonology - General,,Pediatric Pulmonology
Urination Pain - Female,Family Medicine,Internal Medicine - General,Urology,,Pediatric Urology
Penis Symptoms,Family Medicine,Internal Medicine - General,Urology,,Pediatric Urology
Burn,Family Medicine,Internal Medicine - General,Wound Center,Emergency Medicine,
Ear - Pierced,Family Medicine,Internal Medicine - General,Wound Center,,
Ear Piercing Questions,Family Medicine,Internal Medicine - General,Wound Center,,
Puncture Wound,Family Medicine,Internal Medicine - General,Wound Center,,
Wound Infection,Family Medicine,Internal Medicine - General,Wound Center,,
Suture Questions,Family Medicine,Internal Medicine - General,Wound Center,,
Pregnancy - Baby Moving Less,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Pregnancy - Labor,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Pregnancy - Preterm Labor,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Pregnancy (Less Than 20 Weeks) - Vaginal Bleeding,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
Pregnancy More Than 20 Weeks) - Vaginal Bleeding,Family Medicine,Internal Medicine - General,Obstetrics & Gynecology,,
